Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Savings,96491-8525333,05/19/2025,,C-IDP PURCHASE-1413,Village Outfitters,-55.89,
Chequing,84026-6042851,05/26/2025,,Payroll Deposit,Salary,3200,
Chequing,27262-8590047,05/16/2025,,C-IDP PURCHASE-3436,Green Market,-64.39,
Chequing,55347-3686980,04/11/2025,,C-IDP PURCHASE-3472,Express Produce,-65.64,
Chequing,14024-6184197,05/15/2025,,C-IDP PURCHASE-2719,Village Grocers,-83.57,
Chequing,18582-4858779,05/19/2025,,C-IDP PURCHASE-5504,Village Produce,-19.56,
Chequing,55889-9364862,06/30/2025,,C-IDP PURCHASE-2568,Downtown Gadgets,-13.24,
Savings,99098-8382901,05/13/2025,,C-IDP PURCHASE-5811,Green Home,-96.49,
Savings,33526-2013610,05/17/2025,,C-IDP PURCHASE-4399,Maple Electronics,-36.74,
Chequing,50351-5615373,04/06/2025,,C-IDP PURCHASE-1369,Global Outfitters,-50.71,
Savings,76786-2768979,04/04/2025,,C-IDP PURCHASE-2311,Royal Market,-118.5,
Chequing,84338-4948474,06/19/2025,,Bill Payment,Utilities Payment,-240,
Chequing,90788-7897831,06/12/2025,,C-IDP PURCHASE-6988,Urban Books,-117.84,
Chequing,65216-7598123,05/23/2025,,C-IDP PURCHASE-2042,Premier Produce,-54.81,
Savings,10191-2118677,05/21/2025,,C-IDP PURCHASE-5755,Village Produce,-144.55,
Chequing,21146-2466017,07/01/2025,,C-IDP PURCHASE-2140,Village Outfitters,-137.15,
Chequing,94376-4896160,06/13/2025,,C-IDP PURCHASE-3932,Green Bakery,-129.87,
Chequing,44455-7297709,06/29/2025,,C-IDP PURCHASE-9630,Global Electronics,-84.3,
Savings,23686-4957781,05/17/2025,,C-IDP PURCHASE-5056,Express Gadgets,-16.98,
Chequing,82163-5954799,04/27/2025,,C-IDP PURCHASE-9079,Downtown Grocers,-106.14,
Chequing,56768-3851724,05/25/2025,,C-IDP PURCHASE-6389,Express Bakery,-38.47,
Savings,63832-5469862,06/22/2025,,C-IDP PURCHASE-8712,Premier Produce,-74.61,
Chequing,66449-6796558,05/03/2025,,C-IDP PURCHASE-8567,Downtown Home,-92.65,
Chequing,32055-9633725,06/30/2025,,C-IDP PURCHASE-2378,Village Bakery,-85,
Chequing,44933-1396896,04/13/2025,,C-IDP PURCHASE-6246,Express Bakery,-16.42,
Chequing,73819-6098953,05/17/2025,,C-IDP PURCHASE-5308,Downtown Books,-142.16,
